name,country,code,postal_code,population,place,capital,administrative_status,designation,website,wikipedia,wikidata
"Saus, Camallera i Llampaies",ES,17187,17465,908,,,,,,https://ca.wikipedia.org/wiki/Saus%2C_Camallera_i_Llampaies,Q11865
Torroella de Montgrí,ES,17199,17130,12507,,,,,,https://ca.wikipedia.org/wiki/Torroella_de_Montgr%C3%AD,Q13573
Ultramort,ES,17203,17133,218,,,,,,https://ca.wikipedia.org/wiki/Ultramort,Q13588
Verges,ES,17211,17142,1160,,,,,,https://ca.wikipedia.org/wiki/Verges,Q13586
Viladasens,ES,17216,17464,205,,,,,,https://ca.wikipedia.org/wiki/Viladasens,Q13455
Vilamaniscle,ES,17227,17781,185,,,,,,https://ca.wikipedia.org/wiki/Vilamaniscle,Q12165
Vilaür,ES,17222,17483,163,,,,,,https://ca.wikipedia.org/wiki/Vila%C3%BCr,Q12177
Vilopriu,ES,17232,17144,220,,,,,,https://ca.wikipedia.org/wiki/Vilopriu,Q13585
Agde,FR,34003,34300,29103,,,,,https://www.ville-agde.fr/,https://fr.wikipedia.org/wiki/Agde,Q191396
Alénya,FR,66002,66200,3619,,,,,http://www.alenya.fr,https://fr.wikipedia.org/wiki/Al%C3%A9nya,Q450961
Argelès-sur-Mer,FR,66008,66700,10792,,,,,https://www.ville-argelessurmer.fr,https://fr.wikipedia.org/wiki/Argel%C3%A8s-sur-Mer,Q644728
Aumes,FR,34017,34530,501,,,,,https://aumes.webnode.fr/,https://fr.wikipedia.org/wiki/Aumes,Q1148810
